[13:59:30] Order 1 completed for VIP1 (vip)
[14:06:16] Order 1 completed for TestBot (normal)
[14:09:29] Order 3 completed for anonymous (normal)
[14:09:29] Order 2 completed for anonymous (normal)
[14:09:29] Order 1 completed for anonymous (normal)
[14:09:39] Order 5 completed for anonymous (normal)
[14:09:39] Order 4 completed for anonymous (normal)
[14:09:39] Order 6 completed for anonymous (normal)
[14:09:49] Order 8 completed for anonymous (normal)
[14:09:49] Order 7 completed for anonymous (normal)
[14:09:49] Order 9 completed for anonymous (normal)
[14:09:59] Order 11 completed for anonymous (normal)
[14:09:59] Order 10 completed for anonymous (normal)
[14:09:59] Order 12 completed for anonymous (normal)
[14:12:22] Order 23 completed for anonymous (vip)
[14:12:32] Order 24 completed for anonymous (vip)
[14:12:42] Order 25 completed for anonymous (vip)
[14:12:50] Order 18 completed for anonymous (normal)
[14:12:50] Order 19 completed for anonymous (normal)
[14:12:50] Order 27 completed for anonymous (vip)
[14:12:50] Order 15 completed for anonymous (normal)
[14:12:50] Order 13 completed for anonymous (normal)
[14:12:50] Order 14 completed for anonymous (normal)
[14:12:50] Order 26 completed for anonymous (vip)
[14:12:50] Order 16 completed for anonymous (normal)
[14:12:50] Order 17 completed for anonymous (normal)
[14:12:52] Order 20 completed for anonymous (normal)
[14:13:00] Order 22 completed for anonymous (normal)
[14:13:00] Order 21 completed for anonymous (normal)
[14:13:21] Order 28 completed for anonymous (vip)
[14:13:22] Order 29 completed for anonymous (vip)
[14:13:23] Order 30 completed for anonymous (vip)
[14:13:28] Order 31 completed for anonymous (vip)
[14:13:28] Order 32 completed for anonymous (vip)
[14:13:29] Order 33 completed for anonymous (vip)
[14:13:29] Order 34 completed for anonymous (vip)
